Database,ProductCount,Endpoint,ClientCount,TotalQmph,Qps-1,Qps-2,Qps-3,Qps-4,Qps-5,Qps-6,Qps-7,Qps-8,Qps-9,Qps-10,Qps-11,Qps-12
mssql,10000,evi,4,13958.13,154.79,185.23,137.67,78.78,58.36,,45.31,104.64,564.52,82.05,43.17,356.45
none,100,virtuoso,2,30197.55,336.57,155.92,282.64,106.94,287.02,,168.67,208.56,975.69,155.16,789.86,157.60
mysql,1000,db,2,66187.43,2611.07,2542.50,3144.19,2640.92,42.64,,2298.90,3700.89,4088.49,4768.90,5481.42,5389.95
mysql,200000,db,32,387.19,55.86,2100.43,55.83,52.71,0.22,,1032.07,3161.56,4411.18,3758.08,5245.82,7837.23
mssql,100000,evi,32,3150.30,159.39,184.79,173.59,75.66,19.50,,7.31,19.45,265.88,12.76,6.38,268.07
mssql,100000,db,32,3253.85,310.01,678.20,297.74,307.07,27.67,,7.27,17.47,19.28,14.32,617.55,607.50
mssql,10,db,32,486092.10,4805.47,2824.43,3715.63,3682.19,3246.11,,3368.76,3218.06,3484.69,4191.28,4163.83,4121.01
mysql,10000,db,32,8283.93,2015.96,2900.17,1846.34,1374.13,4.68,,1752.52,4285.94,7004.93,6592.39,10515.52,13902.46
mssql,200000,ontop,32,393.11,5.87,1.82,0.52,2.99,3.71,,3.35,6.49,7.98,5.01,2.90,7.22
mysql,100000,db,32,781.32,109.93,1927.54,118.00,107.78,0.44,,1258.72,3508.68,5512.94,3747.94,7687.46,8326.44
mssql,100,evi,32,31775.17,313.39,142.38,222.89,144.51,226.50,,224.39,287.23,370.84,339.25,359.90,287.60
mysql,100,db,4,294090.29,3674.11,2488.98,3728.37,3157.19,547.31,,3207.08,1597.03,2230.09,3536.19,4207.04,4491.32
mssql,100,evi,2,28903.33,318.98,123.72,297.40,225.55,217.31,,176.72,202.77,434.46,272.84,354.54,245.83
mysql,100000,db,2,678.66,87.49,2350.51,102.05,101.38,0.38,,795.29,2140.19,3346.21,2578.67,5303.97,4881.29
mssql,10,evi,16,35938.05,328.38,167.38,304.92,244.96,268.33,,239.04,279.47,391.86,326.70,371.77,281.18
mssql,100,db,32,311055.16,2756.96,2291.71,2832.40,2398.18,1703.39,,1804.64,1939.87,2124.91,2548.16,2697.65,2755.02
mssql,100,ontop,32,14720.23,81.29,102.19,38.40,41.02,103.53,,154.18,151.82,188.78,162.90,54.82,77.02
mysql,100,db,2,247684.96,2996.18,2050.51,3736.59,3246.05,401.04,,3263.96,1290.99,1988.56,3846.32,4902.09,4953.55
mssql,200000,evi,8,1783.15,92.10,179.12,92.05,54.62,12.55,,3.95,14.58,234.61,8.63,2.60,257.24
mssql,10000,db,32,26885.60,1501.27,1343.55,1379.70,1317.04,92.20,,78.12,183.72,150.93,127.60,1443.15,1571.31
mssql,500000,evi,1,668.01,16.48,62.95,20.91,8.68,3.81,,1.59,10.35,94.65,2.51,1.02,105.93
mssql,10000,db,8,26845.25,1906.66,1922.28,1951.00,1927.64,96.29,,64.54,224.02,182.77,133.91,1977.55,2368.49
none,10,virtuoso,1,21191.52,191.05,104.62,171.23,62.48,235.65,,127.49,166.81,710.15,118.73,525.22,108.50
mysql,10,db,32,521016.38,6153.61,2696.21,3069.98,3260.20,3457.00,,3753.61,3836.22,4209.13,5082.17,4846.74,5761.87
mssql,100000,db,8,3268.09,330.77,832.85,312.23,311.01,26.50,,6.19,21.97,24.89,18.26,832.05,868.99
mssql,10,ontop,4,19250.90,97.50,74.58,40.43,44.16,455.02,,341.19,356.14,523.02,598.54,103.71,152.45
mysql,10,ontop,2,20914.44,70.10,169.35,28.10,30.95,470.88,,305.26,323.00,636.81,688.79,73.58,121.57
none,10,virtuoso,16,46796.64,400.14,248.23,388.18,196.46,396.80,,296.35,356.47,642.38,280.89,576.20,297.54
none,200000,virtuoso,32,139.84,1.16,1.49,1.21,1.39,0.51,,0.52,0.83,1.88,0.97,1.83,1.85
mssql,200000,db,1,1132.83,42.74,400.23,55.77,57.02,10.85,,1.88,12.18,12.40,6.52,1627.23,378.65
mssql,10000,ontop,4,3650.85,33.10,18.85,12.82,15.82,21.76,,31.04,61.87,32.17,59.21,14.87,55.62
mysql,100,ontop,2,13851.26,66.89,143.77,24.71,28.11,84.94,,209.77,150.91,402.06,201.75,30.46,53.73
none,10,virtuoso,2,35871.12,379.38,169.36,361.16,131.95,388.57,,207.31,267.25,1183.62,187.49,924.26,204.32
none,1000,virtuoso,4,36383.33,460.52,178.17,359.84,146.90,307.42,,207.49,241.17,1101.85,190.93,898.34,237.13
mysql,100,ontop,16,17864.82,89.37,187.61,38.48,43.48,116.35,,202.30,172.71,244.22,201.47,46.55,76.77
mysql,500000,db,32,159.27,22.37,2040.39,22.87,21.30,0.09,,1019.62,2924.62,5757.57,4526.11,7334.40,7714.94
mssql,10000,ontop,1,1302.29,10.43,7.13,3.59,4.84,6.10,,14.30,20.98,12.79,20.19,5.94,17.10
mssql,200000,db,16,1976.55,172.44,818.82,169.91,163.19,17.34,,3.30,19.01,24.98,9.91,785.55,785.71
mssql,10,ontop,1,7083.89,23.70,36.04,10.15,10.74,252.72,,211.24,223.53,396.93,460.00,29.90,41.19
none,10,virtuoso,32,46194.82,364.57,261.91,321.79,212.59,330.35,,287.32,345.75,503.24,335.25,488.18,364.33
mssql,100,evi,4,35309.15,430.36,154.45,357.76,255.98,270.67,,216.58,254.88,489.87,320.24,382.70,297.97
none,100,virtuoso,4,39741.68,432.19,204.30,375.60,139.29,376.55,,225.38,288.27,1168.11,202.58,930.20,213.16
mssql,100,evi,1,14920.65,83.36,88.33,76.68,43.89,131.35,,117.72,146.50,146.82,175.94,63.96,118.75
mysql,100000,db,4,787.87,106.88,3052.06,117.43,114.04,0.44,,1155.58,3480.15,5393.69,4246.67,8863.69,6808.72
mssql,10,evi,32,32846.14,247.33,159.24,218.28,208.89,232.45,,224.11,277.18,344.98,312.50,329.56,262.17
mssql,10000,db,2,11527.34,972.36,1188.12,1361.72,1212.60,39.05,,34.70,69.91,63.22,44.83,1003.21,1458.75
mssql,200000,ontop,1,257.08,4.50,1.42,0.25,2.00,1.87,,2.40,8.52,4.64,5.53,1.25,8.49
mssql,500000,db,1,593.41,26.37,367.07,31.62,31.29,4.83,,0.90,12.10,25.21,2.62,1602.21,368.56
mssql,10,evi,2,30229.02,372.50,123.86,301.60,230.07,248.14,,191.68,219.46,429.35,297.82,423.86,258.47
none,200000,virtuoso,2,148.20,0.72,1.83,1.12,1.22,0.33,,0.55,0.85,25.14,0.99,13.18,155.80
mssql,1000,db,8,194254.25,2621.90,2037.57,2792.06,2695.65,567.25,,936.14,1458.60,1308.81,1327.52,2592.63,2786.24
mssql,1000,evi,16,32773.26,277.69,179.78,246.37,216.14,214.97,,196.35,251.44,331.84,291.46,266.90,256.86
mssql,10000,evi,32,15112.36,146.45,173.76,150.34,91.04,58.08,,57.01,112.93,457.01,90.74,43.14,340.31
mysql,10,db,2,334023.22,2696.90,1692.01,3331.31,3083.93,2528.19,,1829.04,2344.02,3008.29,3764.80,3913.00,3464.27
mysql,1000,db,16,77978.51,6036.57,4729.15,7599.87,7503.80,48.60,,1956.52,5878.42,8152.09,8357.84,9114.97,10669.11
mssql,100000,ontop,2,597.87,11.24,3.98,0.70,4.93,4.72,,5.13,15.24,5.23,12.84,2.15,12.73
